date,volume,available_volume,anger_score,anticipation_score,disgust_score,fear_score,joy_score,sadness_score,surprise_score,trust_score,market_caps,BTCD
2022-10-01,10000,9823,8873.31239547581,14130.246085592877,6042.330724731912,8142.537184654724,7428.530854791421,4380.434599363247,7143.971666289365,8863.645624430705,373222100680.7475,39.30095125186124
2022-10-02,10000,9827,8798.079589537323,14032.941168137855,5704.69253237688,8375.634815234705,7151.804486221968,4204.262848256325,6502.797169404381,7863.259438537624,370204708063.3375,39.284640311672526
2022-10-03,10000,9823,8673.69606391972,14156.654599845297,5934.586429813099,7694.390443872577,6933.221028907694,4077.852440502913,6314.067372981555,8299.118418147116,366195863790.6755,39.34843603130271
2022-10-04,10000,9826,8772.50821570989,13695.983568513677,5926.5940006009,7812.807597037681,7005.295708960458,4502.517120232552,6563.287394076065,8515.506556941351,375767908259.0832,39.5410940469101
2022-10-05,10000,9861,9065.551101174096,14129.711638811774,5775.14357495347,8203.997033696773,7030.5096130854645,4379.774775362434,6535.697845357345,8747.814616950529,390177741507.47705,39.93371697023351
2022-10-06,10000,9848,8694.299498301718,13728.957585599455,5816.995121727485,7789.121707374659,7128.05737522512,4419.62075670888,6302.869782617911,8689.797338767523,386368899196.38165,39.787921286976605
2022-10-07,10000,9833,8682.819465665096,13948.18753667386,5928.555380480214,8197.69070691847,7226.012162290322,4009.958807114623,6697.221781822705,8865.17763445285,382505641462.1564,39.68483314397444
2022-10-08,10000,9834,9574.36576412898,13969.11264755302,6170.652232107596,8049.347912124676,6792.11757919365,4322.443759618041,6604.299325353619,9084.191021623512,373170861484.1397,39.24843565035872
2022-10-09,10000,9819,8970.067609537535,14277.519943065574,5777.027098721804,8624.270375358443,7341.830693865336,4695.375854095652,6617.760667643555,9326.224889163324,372391945609.07526,39.31415308729761
2022-10-10,10000,9856,8755.907560489086,13604.395533631048,5313.552621115568,7626.843668673518,6552.931946740762,4133.149188188724,6096.149907633804,8023.140476484452,372264710552.3351,39.1855177231827
2022-10-11,10000,9822,8466.03447181168,13484.062483590482,5904.114972517352,7981.423412384565,6662.630128207379,4065.70108252369,6156.182271050451,8527.276640516888,367207056773.2261,39.360878645802856
2022-10-12,10000,9834,9213.301693734376,14743.903173090042,6159.995259085863,8628.462266556395,7823.070660978159,4429.497833830883,7201.391452174297,9245.718446423673,365118514776.268,39.44676913913543
2022-10-13,10000,9820,8392.108835727175,13060.95916478577,5816.358299109315,7512.228160568706,6686.143438686228,4075.96539353324,6409.01943830707,8194.204606774192,367301644901.367,39.499552798366885
2022-10-14,10000,9850,8621.561372436954,14131.504827318677,5530.8197636548375,7561.824750197888,7079.347201986819,4239.350476681071,6274.845475533654,8201.492690051173,371647189087.476,39.88421867210693
2022-10-15,10000,9867,8793.159299360655,13178.060060953492,5344.711144080804,7165.308925186025,6249.432784976464,4087.367117561736,5993.913283247744,7846.173594128766,367584653730.7548,39.65452396597391
2022-10-16,10000,9872,8740.040159129441,13653.618262723949,5542.5015913665775,7484.176115426865,6540.072984764675,4047.500309118212,6120.307324787757,8247.20860087701,365870425566.53,39.65986492885997
2022-10-17,10000,9822,8877.116477964584,14770.157977475628,5838.806893702646,7869.873893495665,6734.237601747602,4349.9303048327,6345.979060904598,8049.732471883492,369552982160.5376,39.6699375880652
2022-10-18,10000,9860,8795.23786811057,14434.621539188558,5826.436384537105,7927.052091968458,6957.22530947401,4248.934623390119,6713.12064191643,8137.556727362628,375052275829.7958,39.652173955029504
2022-10-19,10000,9868,8605.970928108303,13600.199192001151,5573.4967359813945,7572.591511969877,6458.148740993027,4194.8682332033095,6490.588710400254,8328.10597796998,371196833238.99286,39.6752670878071
2022-10-20,10000,9846,8500.603280602458,13588.397039410618,5890.080310978349,7554.494405542748,6420.800280896855,4311.094590441378,6222.598535793458,8419.775332659548,367085331987.69183,39.80888701499736
2022-10-21,10000,9855,8018.625851018888,13238.036678351516,5338.070349293379,7152.7473877475,6703.171064321247,4030.9292842132927,6232.943854588862,7852.67736032293,365098952754.63934,39.760989072774514
2022-10-22,10000,9846,8510.16692445591,13576.890802801803,5273.826494999933,7622.449735176922,6616.812770066989,4207.643304178778,6515.123585025255,7991.427337718085,367999082249.1525,39.7277548521066
2022-10-23,10000,9853,8860.010830126452,13805.609761777056,5653.848267709344,8046.2274140442705,6996.626726307406,4070.384350625699,6624.517575003977,8141.637912329597,368484939423.5548,39.61952379578015
2022-10-24,10000,9877,8916.203055810767,14740.94382170096,6331.240083362382,7961.460887456977,6420.425732714781,4415.477288191224,6790.652414165325,8132.270557744829,375197423662.3941,39.56413740664513
2022-10-25,10000,9852,8732.629392528344,13928.959496653451,6144.985741340823,7733.41193048504,7007.543138865284,4153.803494484467,6136.190452216873,7942.874108017636,370622833880.7626,39.57502909533881
2022-10-26,10000,9846,8605.60177610593,14174.102122501725,5250.728935431707,7632.499528023109,6615.261552878928,4061.78171339655,6169.724684294263,8196.179397547987,385476931983.846,39.451134391236565
2022-10-27,10000,9819,8874.395790364075,13773.887305390392,5329.750183479496,7679.591080910465,6338.456656940553,4115.875163654875,6403.42861525987,8280.089668464041,398674628646.93066,39.417694952666
2022-10-28,10000,9840,8736.63768173361,13898.502552486902,6292.814584128219,7884.440708156944,7778.203741737889,4175.245789586648,6954.712992407456,8860.248338367519,389238872375.6226,39.22408777690276
2022-10-29,10000,9843,8913.111191772996,13501.71423149806,5568.658917788609,7612.354763782557,7010.817343846788,3830.524624938946,6681.581654320357,7542.453491622268,395201306734.5831,39.06922804471446
2022-10-30,10000,9737,8337.691209714767,13496.473524522273,5852.241245757931,7406.662648271948,7442.643703552102,3959.9878443815824,7063.368250213701,8049.935329287079,399135164712.3964,38.64827890785123
